filename,m,n,k,fitness,used_budget,completed,valid,execution_time(s)
scpa5.txt,300,3000,200,2966,200,True,True,0.014440059661865234
scp45.txt,200,1000,133,963,133,True,True,0.0026481151580810547
scp410.txt,200,1000,133,962,133,True,True,0.001676321029663086
scpc4.txt,400,4000,266,3982,266,True,True,0.021450042724609375
scpc5.txt,400,4000,266,3989,266,True,True,0.010184049606323242
scp41.txt,200,1000,133,960,133,True,True,0.0011167526245117188
scp49.txt,200,1000,133,956,133,True,True,0.002783060073852539
scpc1.txt,400,4000,266,3987,266,True,True,0.020666122436523438
scp46.txt,200,1000,133,957,133,True,True,0.0017578601837158203
scpb2.txt,300,3000,200,3000,200,True,True,0.01705312728881836
scp47.txt,200,1000,133,957,133,True,True,0.0016901493072509766
scp44.txt,200,1000,133,954,133,True,True,0.0032405853271484375
scpc3.txt,400,4000,266,3983,266,True,True,0.019649267196655273
scpb3.txt,300,3000,200,3000,200,True,True,0.005336284637451172
scpa4.txt,300,3000,200,2960,200,True,True,0.006390094757080078
scp42.txt,200,1000,133,946,133,True,True,0.0016837120056152344
scpb1.txt,300,3000,200,3000,200,True,True,0.013373851776123047
scpc2.txt,400,4000,266,3984,266,True,True,0.012218475341796875
scpb5.txt,300,3000,200,3000,200,True,True,0.0070285797119140625
scpa2.txt,300,3000,200,2954,200,True,True,0.007696628570556641
scpa3.txt,300,3000,200,2956,200,True,True,0.0057604312896728516
scp43.txt,200,1000,133,961,133,True,True,0.0011000633239746094
scpb4.txt,300,3000,200,3000,200,True,True,0.014213323593139648
scpa1.txt,300,3000,200,2956,200,True,True,0.005463600158691406
scp48.txt,200,1000,133,954,133,True,True,0.0012459754943847656
