filename,m,n,k,fitness,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,mutate,mutation_rate,dist_type,selection_type
scpa1.txt,3000,300,150,299,81.49335980415344,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa2.txt,3000,300,150,300,75.52320575714111,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa3.txt,3000,300,150,299,100.04729390144348,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa4.txt,3000,300,150,299,100.86449337005615,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa5.txt,3000,300,150,299,87.77862858772278,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,157,43.59998941421509,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,158,43.36255693435669,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp48.txt,1000,200,50,157,44.380040884017944,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp49.txt,1000,200,50,153,43.81420087814331,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp410.txt,1000,200,50,154,43.919739723205566,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
