filename,m,n,k,initial_fitness,fitness,iteration,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,dist_type,selection_type
scpc5.txt,4000,400,200,396,400,52,1.139859676361084,10,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,1.9168634414672852,10,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,170,3.0493733882904053,10,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,399,100,1.806884527206421,10,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,171,3.1318016052246094,10,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,48,0.9379222393035889,10,,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,399,100,1.9224541187286377,10,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,167,2.9885025024414062,10,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.039186716079712,10,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,209,4.107202053070068,10,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,1.8935649394989014,10,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,399,300,6.6139068603515625,10,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,305,6.7330451011657715,10,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,83,1.9124667644500732,10,,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.2820537090301514,10,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,140,3.139418363571167,10,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,399,100,2.3218560218811035,10,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,109,2.503952980041504,10,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,395,400,44,0.9717490673065186,10,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,7,0.19991612434387207,10,,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,10,0.20450639724731445,10,,fixed,0.2,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.3458309173583984,10,,fixed,0.2,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,102,2.3942270278930664,10,,fixed,0.2,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.434328079223633,10,,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,183,4.48766303062439,10,,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,52,1.1884708404541016,10,,fixed,0.2,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,87,2.0889968872070312,10,,fixed,0.5,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.2657408714294434,10,,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,399,300,7.100588321685791,10,,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,469,11.344707250595093,10,,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,399,100,2.350501298904419,10,,fixed,0.5,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,270,6.535430908203125,10,,fixed,0.5,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,2.4090826511383057,10,,fixed,0.5,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,127,3.056837797164917,10,,fixed,0.5,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,15,0.3777501583099365,10,,fixed,0.7,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,39,1.0246214866638184,10,,fixed,0.7,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,399,399,100,2.4547817707061768,10,,fixed,0.7,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,126,3.1306402683258057,10,,fixed,0.7,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,24,0.5499551296234131,10,,fixed,0.7,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,1,0.020473003387451172,10,30,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,399,100,2.3318965435028076,10,30,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,277,6.651559352874756,10,30,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,395,399,100,2.4731719493865967,10,30,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,395,399,300,7.040322542190552,10,30,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,395,400,418,9.847071647644043,10,30,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,2.3521571159362793,10,30,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,126,2.8878839015960693,10,30,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,395,400,2,0.04032087326049805,10,30,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.3210203647613525,10,30,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,129,3.009146213531494,10,30,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,2.3616461753845215,10,30,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,217,5.19570779800415,10,30,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,100,2.2414684295654297,10,30,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,94,2.2602622509002686,10,30,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.375431537628174,10,30,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,159,3.7454519271850586,10,30,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,394,400,63,1.3966948986053467,10,30,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,395,400,90,2.1285505294799805,10,30,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.57613468170166,10,30,fixed,0.2,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,396,400,154,3.9178647994995117,10,30,fixed,0.2,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,395,400,66,1.6895787715911865,10,30,fixed,0.2,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,393,399,100,2.2412078380584717,10,30,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,393,400,275,6.5400238037109375,10,30,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,95,2.497844934463501,10,30,fixed,0.2,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,18,0.4308807849884033,10,30,fixed,0.5,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,2.3726565837860107,10,30,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,135,3.0999937057495117,10,30,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,71,1.5700054168701172,10,30,fixed,0.5,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,395,400,19,0.39943671226501465,10,30,fixed,0.5,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,54,1.2445380687713623,10,30,fixed,0.7,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,399,100,2.5383975505828857,10,30,fixed,0.7,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,140,3.522584915161133,10,30,fixed,0.7,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,59,1.4861176013946533,10,30,fixed,0.7,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,4,0.08800911903381348,10,30,fixed,0.7,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,34,2.5920441150665283,30,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,99,7.459638595581055,30,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,6,0.40474987030029297,30,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,10,0.6668143272399902,30,,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,399,400,37,2.757448434829712,30,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,53,3.8781816959381104,30,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,32,2.486314058303833,30,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,5,0.36504459381103516,30,,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,400,400,1,0.060453176498413086,30,,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,3,0.2334277629852295,30,,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,26,2.4075210094451904,30,,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,83,6.338175535202026,30,,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,12,0.9708380699157715,30,,fixed,0.2,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,400,400,1,0.08203005790710449,30,,fixed,0.2,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,16,1.3223285675048828,30,,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,15,1.0201520919799805,30,,fixed,0.2,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,21,1.5193095207214355,30,,fixed,0.5,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,14,1.0131287574768066,30,,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,4,0.33384275436401367,30,,fixed,0.5,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,48,3.8082056045532227,30,,fixed,0.5,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,48,3.733614444732666,30,,fixed,0.7,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,89,7.473557710647583,30,,fixed,0.7,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,40,2.9906868934631348,30,,fixed,0.7,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,16,1.1423349380493164,30,,fixed,0.7,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,399,400,4,0.26478028297424316,30,10,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,15,1.155442476272583,30,10,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,8,0.6403748989105225,30,10,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,9,0.7814738750457764,30,10,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,35,2.7225966453552246,30,10,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,11,0.9367761611938477,30,10,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,14,1.100071907043457,30,10,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,399,100,7.769670248031616,30,10,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,399,400,132,10.520738363265991,30,10,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,9,0.725405216217041,30,10,linear,,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,399,400,54,4.3490025997161865,30,10,linear,,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,3,0.24765777587890625,30,10,linear,,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,6,0.45084285736083984,30,10,linear,,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,60,4.649592876434326,30,10,fixed,0.2,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,60,4.7801854610443115,30,10,fixed,0.2,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,7.4713053703308105,30,10,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,150,11.433317184448242,30,10,fixed,0.2,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,399,100,7.844935894012451,30,10,fixed,0.2,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,170,13.683050155639648,30,10,fixed,0.2,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,396,400,26,2.232842206954956,30,10,fixed,0.5,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,8,0.7156965732574463,30,10,fixed,0.5,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,397,400,15,1.2681801319122314,30,10,fixed,0.5,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,22,1.6331400871276855,30,10,fixed,0.5,2.0,2.0,wHD,stochastic
scpc5.txt,4000,400,200,398,400,21,1.5838911533355713,30,10,fixed,0.7,1.5,1.5,wHD,stochastic
scpc5.txt,4000,400,200,397,400,12,0.8214375972747803,30,10,fixed,0.7,1.5,2.0,wHD,stochastic
scpc5.txt,4000,400,200,399,400,20,1.5585427284240723,30,10,fixed,0.7,2.0,1.5,wHD,stochastic
scpc5.txt,4000,400,200,398,400,66,4.993140459060669,30,10,fixed,0.7,2.0,2.0,wHD,stochastic
