filename,m,n,k,fitness,iteration,execution_time(s),num_particles,inertia_type,inertia_value,neighborhood_size,c1,c2,dist_type,selection_type
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,100,1.7907509803771973,10,linear,,,1.5,1.5,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,290,5.1331398487091064,10,linear,,,1.5,1.5,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,100,1.7555341720581055,10,linear,,,1.5,1.5,HD,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,300,5.126744270324707,10,linear,,,1.5,1.5,HD,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,370,6.251904487609863,10,linear,,,1.5,1.5,HD,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,100,1.590010166168213,10,linear,,,1.5,2.0,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,208,3.3073818683624268,10,linear,,,1.5,2.0,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,68,1.0859272480010986,10,linear,,,1.5,2.0,HD,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,3,0.05645561218261719,10,linear,,,2.0,1.5,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,100,1.6091830730438232,10,linear,,,2.0,1.5,HD,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,108,1.7322721481323242,10,linear,,,2.0,1.5,HD,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,100,1.5881707668304443,10,linear,,,2.0,2.0,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,400,206,3.1547467708587646,10,linear,,,2.0,2.0,bit-wise,stochastic
C:\Users\Mi-Computer N°08\Downloads\metah-master\projet\data\scpc5.txt,4000,400,200,399,100,1.5952889919281006,10,linear,,,2.0,2.0,HD,stochastic
